;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
10;frozenset({'DAGING AYAM FILLET DADA KG'});frozenset({'DAGING AYAM FILLET PAHA KG'});0.07399549131414931;0.06776289616761702;0.017902134995358705;0.24193548387096775;3.570323843191718;0.012887986200566198;1.2297595837788882
11;frozenset({'DAGING AYAM FILLET PAHA KG'});frozenset({'DAGING AYAM FILLET DADA KG'});0.06776289616761702;0.07399549131414931;0.017902134995358705;0.264187866927593;3.5703238431917184;0.012887986200566198;1.2584795317512494
0;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.03142819254740751;0.039782522211908235;0.016178225699509347;0.5147679324894514;12.93954992967651;0.014927932931411978;1.9788829759632844
1;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.039782522211908235;0.03142819254740751;0.016178225699509347;0.4066666666666666;12.93954992967651;0.014927932931411978;1.632424394583021
8;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.039782522211908235;0.029704283251558147;0.015249966847898156;0.3833333333333333;12.904985119047618;0.014068255539654231;1.573452513646122
9;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.029704283251558147;0.039782522211908235;0.015249966847898156;0.5133928571428572;12.904985119047621;0.014068255539654231;1.9732909635278217
4;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});0.039782522211908235;0.030367325288423286;0.01405649118154091;0.35333333333333333;11.635312954876273;0.012848402388737967;1.499431971203469
5;frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.030367325288423286;0.039782522211908235;0.01405649118154091;0.462882096069869;11.635312954876275;0.012848402388737967;1.787721970841244
6;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.03142819254740751;0.029704283251558147;0.012863015515183663;0.4092827004219409;13.778575195901146;0.011929463581670963;1.6425720347812909
7;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.029704283251558147;0.03142819254740751;0.012863015515183663;0.43303571428571436;13.778575195901146;0.011929463581670963;1.708347124955754
2;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});0.03142819254740751;0.030367325288423286;0.011006497811961278;0.35021097046413496;11.5324931365504;0.010052107665646954;1.492226908484699
3;frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.030367325288423286;0.03142819254740751;0.011006497811961278;0.3624454148471616;11.532493136550402;0.010052107665646954;1.519198245935916
