;antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
16;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.07592891760904685;0.07592891760904685;0.045234248788368334;0.5957446808510638;7.846084200995925;0.03946904825908691;2.285860045914463
17;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.07592891760904685;0.07592891760904685;0.045234248788368334;0.5957446808510638;7.846084200995925;0.03946904825908691;2.285860045914463
20;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.07592891760904685;0.061389337641357025;0.03715670436187399;0.4893617021276595;7.97144456886898;0.03249547840202943;1.838112547119009
21;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.061389337641357025;0.07592891760904685;0.03715670436187399;0.6052631578947368;7.97144456886898;0.03249547840202943;2.3409800753904144
10;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.07592891760904685;0.061389337641357025;0.035541195476575124;0.46808510638297873;7.624860022396417;0.030879969516730568;1.7645880452342488
11;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.061389337641357025;0.07592891760904685;0.035541195476575124;0.5789473684210527;7.624860022396416;0.030879969516730568;2.1946688206785137
32;frozenset({'JABMILK SUSU RASA STROBERI 1L', 'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA MELON 1L'});0.045234248788368334;0.061389337641357025;0.029079159935379646;0.6428571428571429;10.471804511278197;0.026302259363557356;2.6281098546042005
37;frozenset({'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L', 'JABMILK SUSU RASA COKLAT 1L'});0.061389337641357025;0.045234248788368334;0.029079159935379646;0.4736842105263158;10.471804511278197;0.026302259363557356;1.8140549273021003
33;frozenset({'JABMILK SUSU RASA STROBERI 1L', 'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.03715670436187399;0.07592891760904685;0.029079159935379646;0.782608695652174;10.307123034227567;0.026257891591263204;4.250726978998385
34;frozenset({'JABMILK SUSU RASA COKLAT 1L', 'JABMILK SUSU RASA MELON 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.035541195476575124;0.07592891760904685;0.029079159935379646;0.8181818181818181;10.775628626692455;0.026380555432311745;5.082390953150241
36;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L', 'JABMILK SUSU RASA MELON 1L'});0.07592891760904685;0.03715670436187399;0.029079159935379646;0.3829787234042553;10.307123034227567;0.026257891591263204;1.5604701687928249
35;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L', 'JABMILK SUSU RASA MELON 1L'});0.07592891760904685;0.035541195476575124;0.029079159935379646;0.3829787234042553;10.775628626692455;0.026380555432311745;1.563088407331068
12;frozenset({'JABMILK SUSU RASA COKLAT 1L'});frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});0.07592891760904685;0.048465266558966075;0.027463651050080775;0.36170212765957444;7.463120567375886;0.023783735818624547;1.4907377490576197
13;frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});frozenset({'JABMILK SUSU RASA COKLAT 1L'});0.048465266558966075;0.07592891760904685;0.027463651050080775;0.5666666666666667;7.463120567375886;0.023783735818624547;2.132471728594507
23;frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});frozenset({'JABMILK SUSU RASA STROBERI 1L'});0.048465266558966075;0.07592891760904685;0.024232633279483037;0.5;6.585106382978723;0.02055271804802681;1.8481421647819063
22;frozenset({'JABMILK SUSU RASA STROBERI 1L'});frozenset({'JABMILK SUSU RASA ORIGINAL 1L'});0.07592891760904685;0.048465266558966075;0.024232633279483037;0.3191489361702127;6.585106382978722;0.02055271804802681;1.3975666397415183
